source_host,dest_host,negative_average_owd
ccperfsonar2.in2p3.fr,lapp-ps02.in2p3.fr,-4.281509296383616
ccperfsonar2.in2p3.fr,lpnhe-psl.in2p3.fr,-1.536320144241313
ccperfsonar2.in2p3.fr,clrperf-owamp.in2p3.fr,-2.9403172873272108
ccperfsonar2.in2p3.fr,psonar1.lal.in2p3.fr,-1377.1722665057994
ccperfsonar2.in2p3.fr,ps1.ochep.ou.edu,-520.1156490924576
ccperfsonar2.in2p3.fr,perfsonar-de-kit.gridka.de,-0.6177502070999673
ccperfsonar2.in2p3.fr,psl01-gva.cern.ch,-4.538437691921869
perfsonar01.datagrid.cea.fr,lpnhe-psl.in2p3.fr,-17.260876132943288
perfsonar01.datagrid.cea.fr,marperf02.in2p3.fr,-5.277657704437512
perfsonar01.datagrid.cea.fr,ccperfsonar2.in2p3.fr,-8.42066934982069
perfsonar01.datagrid.cea.fr,lapp-ps02.in2p3.fr,-13.526450514879494
perfsonar01.datagrid.cea.fr,llrpsonar1.in2p3.fr,-10.99454409420634
perfsonar01.datagrid.cea.fr,clrperf-owamp.in2p3.fr,-14.767743951846636
perfsonar01.datagrid.cea.fr,psonar1.lal.in2p3.fr,-1335.4557650494937
perfsonar01.datagrid.cea.fr,lpsc-perfsonar2.in2p3.fr,-2.6754725945383075
perfsonar01.datagrid.cea.fr,nanperfs01.in2p3.fr,-11.350167478045842
perfsonar01.datagrid.cea.fr,sbgperfps1.in2p3.fr,-10.862014772063448
perfsonar01.datagrid.cea.fr,psbud01.kfki.hu,-7.483882580446628
perfsonar01.datagrid.cea.fr,ps1.ochep.ou.edu,-511.0049472745928
perfsonar01.datagrid.cea.fr,perfsonar-ps.ndgf.org,-2.793688456391536
perfsonar01.datagrid.cea.fr,perfsonar-latency.esc.qmul.ac.uk,-12.650547957060288
perfsonar01.datagrid.cea.fr,perfsonar01.lcg.cscs.ch,-11.248194604892968
perfsonar01.datagrid.cea.fr,hepsonar2.ph.liv.ac.uk,-8.725610820712141
perfsonar01.datagrid.cea.fr,psonar.cis.gov.pl,-3.0668557293371466
perfsonar01.datagrid.cea.fr,perfmon.dur.scotgrid.ac.uk,-9.434101147826638
perfsonar01.datagrid.cea.fr,gridpp-ps-lat.ecdf.ed.ac.uk,-6.581700933878149
perfsonar01.datagrid.cea.fr,t2ps-latency.physics.ox.ac.uk,-11.373724166770137
perfsonar01.datagrid.cea.fr,lcgps01.gridpp.rl.ac.uk,-12.67498927990849
perfsonar01.datagrid.cea.fr,perfsonar-ow.cnaf.infn.it,-8.526868389953389
perfsonar01.datagrid.cea.fr,heplnx129.pp.rl.ac.uk,-12.896055781553041
perfsonar01.datagrid.cea.fr,perfsonar-latency.grid.surfsara.nl,-9.970214273509482
perfsonar01.datagrid.cea.fr,perfson1.ppgrid1.rhul.ac.uk,-12.421229957639087
perfsonar01.datagrid.cea.fr,perfsonar-ps-01.desy.de,-0.5710351078182645
perfsonar01.datagrid.cea.fr,psl01-gva.cern.ch,-13.887760041226215
perfsonar01.datagrid.cea.fr,perfsonar2.roma1.infn.it,-4.924109897487085
perfsonar01.datagrid.cea.fr,ps-01.lnl.infn.it,-9.021925747264657
lcgps01.gridpp.rl.ac.uk,ps1.ochep.ou.edu,-509.34097615473445
lcgps01.gridpp.rl.ac.uk,psonar1.lal.in2p3.fr,-1366.3770430102734
llrpsonar1.in2p3.fr,clrperf-owamp.in2p3.fr,-1.170228061124373
llrpsonar1.in2p3.fr,lapp-ps02.in2p3.fr,-0.6495360954114306
llrpsonar1.in2p3.fr,lpnhe-psl.in2p3.fr,-5.144432505228759
llrpsonar1.in2p3.fr,psonar1.lal.in2p3.fr,-1365.9877574905415
llrpsonar1.in2p3.fr,ps1.ochep.ou.edu,-536.5687001981249
llrpsonar1.in2p3.fr,perfson1.ppgrid1.rhul.ac.uk,-0.09550319734459464
llrpsonar1.in2p3.fr,lcgps01.gridpp.rl.ac.uk,-0.44583676514024767
llrpsonar1.in2p3.fr,perfsonar-latency.esc.qmul.ac.uk,-0.49103202296046145
llrpsonar1.in2p3.fr,psl01-gva.cern.ch,-0.5357648056540809
lpnhe-psl.in2p3.fr,psonar1.lal.in2p3.fr,-1380.3286539503815
lpnhe-psl.in2p3.fr,ps1.ochep.ou.edu,-515.2137974831219
perfsonar2.nipne.ro,ps1.ochep.ou.edu,-507.6328464688449
perfsonar2.nipne.ro,perfsonar02-iep-grid.saske.sk,-728566.6863596678
perfsonar2.nipne.ro,psonar1.lal.in2p3.fr,-1524.5358997592664
perfsonar2.nipne.ro,perfsonar-latency.grid.pub.ro,-0.07088190879706863
lapp-ps02.in2p3.fr,psonar1.lal.in2p3.fr,-1373.1350780526932
lapp-ps02.in2p3.fr,ps1.ochep.ou.edu,-526.6772287184426
lapp-ps02.in2p3.fr,perfsonar02-iep-grid.saske.sk,-2001079.5040863594
t2ps-latency.physics.ox.ac.uk,ps1.ochep.ou.edu,-520.1938244758439
t2ps-latency.physics.ox.ac.uk,psonar1.lal.in2p3.fr,-1368.5126503952938
perfsonar2.na.infn.it,ps1.ochep.ou.edu,-507.78059940811676
perfsonar2.na.infn.it,psonar1.lal.in2p3.fr,-1352.7965005422272
gridpp-ps-lat.ecdf.ed.ac.uk,ps1.ochep.ou.edu,-513.7077744888911
gridpp-ps-lat.ecdf.ed.ac.uk,psonar1.lal.in2p3.fr,-1365.0352967947606
lhcperfmon.bnl.gov,ps1.ochep.ou.edu,-531.9064532475178
lhcperfmon.bnl.gov,psonar1.lal.in2p3.fr,-1301.6770360207668
lhcperfmon.bnl.gov,lutps1.lunet.edu,-9755.275415328486
perfsonar-latency.esc.qmul.ac.uk,ps1.ochep.ou.edu,-528.4769958975645
perfsonar-latency.esc.qmul.ac.uk,psonar1.lal.in2p3.fr,-1364.0542468937956
hepsonar2.ph.liv.ac.uk,ps1.ochep.ou.edu,-520.8055195057938
hepsonar2.ph.liv.ac.uk,psonar1.lal.in2p3.fr,-1374.9827863660948
marperf02.in2p3.fr,lpnhe-psl.in2p3.fr,-0.3277765906526925
marperf02.in2p3.fr,lapp-ps02.in2p3.fr,-1.361678281627554
marperf02.in2p3.fr,clrperf-owamp.in2p3.fr,-1.8416717551041282
marperf02.in2p3.fr,psonar1.lal.in2p3.fr,-1379.5430085841892
marperf02.in2p3.fr,ps1.ochep.ou.edu,-516.058725568262
marperf02.in2p3.fr,psl01-gva.cern.ch,-1.3181834210111856
psl01-gva.cern.ch,ps1.ochep.ou.edu,-486.96980543759133
psl01-gva.cern.ch,psonar1.lal.in2p3.fr,-1383.7359409658127
perfsonar-ps.ndgf.org,ps1.ochep.ou.edu,-492.60693088341907
perfsonar-ps.ndgf.org,psonar1.lal.in2p3.fr,-1794.484677322309
psl01.pic.es,ps1.ochep.ou.edu,-514.5976675750924
psl01.pic.es,psonar1.lal.in2p3.fr,-1349.9352974682824
perfsonar-ow.cnaf.infn.it,psonar1.lal.in2p3.fr,-1383.2230620554385
perfsonar2.cc.kek.jp,ps1.ochep.ou.edu,-437.77784555366134
perfsonar2.cc.kek.jp,perflat.ciemat.es,-15.413030863688839
perfsonar2.cc.kek.jp,psonar1.lal.in2p3.fr,-1507.8584038477536
ps-latency.hepnetcanada.ca,ps-latency.lhcmon.triumf.ca,-9.365721881257029
ps-latency.hepnetcanada.ca,ps1.ochep.ou.edu,-571.2559956817922
ps-latency.hepnetcanada.ca,psonar1.lal.in2p3.fr,-1234.493569149483
ps-latency.atlas.unimelb.edu.au,ps1.ochep.ou.edu,-453.3517257636083
ps-latency.atlas.unimelb.edu.au,perfsonar02-iep-grid.saske.sk,-233564.34839744898
ps-latency.atlas.unimelb.edu.au,psonar1.lal.in2p3.fr,-1161.5915032969658
iut2-net1.iu.edu,ps1.ochep.ou.edu,-568.2545873783946
iut2-net1.iu.edu,psonar1.lal.in2p3.fr,-1337.7336058952164
iut2-net1.iu.edu,lutps1.lunet.edu,-9765.165566341035
mwt2-ps01.campuscluster.illinois.edu,ps1.ochep.ou.edu,-569.8426105352754
mwt2-ps01.campuscluster.illinois.edu,psonar1.lal.in2p3.fr,-1519.341964408834
mwt2-ps01.campuscluster.illinois.edu,lutps1.lunet.edu,-9773.847431518363
btw-lat.t1.grid.kiae.ru,ps1.ochep.ou.edu,-507.3897314014209
btw-lat.t1.grid.kiae.ru,btw-lat.grid.kiae.ru,-1.1755598442266706
btw-lat.t1.grid.kiae.ru,psonar1.lal.in2p3.fr,-1301.9473001097313
perfsonar-latency.grid.surfsara.nl,ps1.ochep.ou.edu,-507.7197591539311
perfsonar-latency.grid.surfsara.nl,perfsonar02-iep-grid.saske.sk,-289056.8694442349
perfsonar-latency.grid.surfsara.nl,psonar1.lal.in2p3.fr,-1352.217896234154
ps-gsdc01.sdfarm.kr,ps1.ochep.ou.edu,-491.9283249602721
ps-gsdc01.sdfarm.kr,psonar1.lal.in2p3.fr,-1274.4787038625827
btw-lat.grid.kiae.ru,ps1.ochep.ou.edu,-486.52650212947253
btw-lat.grid.kiae.ru,psonar1.lal.in2p3.fr,-1286.924589748655
ps-latency.lhcmon.triumf.ca,ps1.ochep.ou.edu,-534.6990945108857
ps-latency.lhcmon.triumf.ca,psonar1.lal.in2p3.fr,-1301.030076422678
uct2-net1.mwt2.org,ps1.ochep.ou.edu,-569.7419659544787
uct2-net1.mwt2.org,psonar1.lal.in2p3.fr,-1359.8885122115473
uct2-net1.mwt2.org,lutps1.lunet.edu,-9765.465846136634
atlas-npt1.bu.edu,ps1.ochep.ou.edu,-556.5586792103112
atlas-npt1.bu.edu,lhcperfmon.bnl.gov,-4.19381353606746
atlas-npt1.bu.edu,psonar1.lal.in2p3.fr,-1347.4714950977743
atlas-npt1.bu.edu,lutps1.lunet.edu,-9732.205159069197
perfson1.zeuthen.desy.de,ps1.ochep.ou.edu,-531.6888411951562
perfson1.zeuthen.desy.de,psonar1.lal.in2p3.fr,-1310.5675626272832
perfmon.dur.scotgrid.ac.uk,psonar1.lal.in2p3.fr,-1371.4305647603858
psnr-farm10.slac.stanford.edu,ps1.ochep.ou.edu,-547.7346356747734
psnr-farm10.slac.stanford.edu,ps-latency.lhcmon.triumf.ca,-0.25303193422392645
psnr-farm10.slac.stanford.edu,psonar1.lal.in2p3.fr,-1324.3003163563455
psnr-farm10.slac.stanford.edu,lutps1.lunet.edu,-9759.472642765659
lcg-lat.sfu.computecanada.ca,ps1.ochep.ou.edu,-545.4196932373756
lcg-lat.sfu.computecanada.ca,ps-latency.lhcmon.triumf.ca,-9.992664363781977
lcg-lat.sfu.computecanada.ca,perfsonar02-iep-grid.saske.sk,-425352.8887934029
lcg-lat.sfu.computecanada.ca,psonar1.lal.in2p3.fr,-1320.3864151471341
ps-01.lnl.infn.it,perflat.ciemat.es,-91.90338671723298
ps-01.lnl.infn.it,psonar1.lal.in2p3.fr,-1386.9367849767175
psum01.aglt2.org,ps1.ochep.ou.edu,-567.395300332167
psum01.aglt2.org,psonar1.lal.in2p3.fr,-1324.3650785406828
psum01.aglt2.org,lutps1.lunet.edu,-9782.150019962495
perfsonar2.roma1.infn.it,ps1.ochep.ou.edu,-511.16299600557045
perfsonar2.roma1.infn.it,psonar1.lal.in2p3.fr,-1409.3800016949285
psl.hpc.utfsm.cl,ps1.ochep.ou.edu,-435.8204344978841
psl.hpc.utfsm.cl,psonar1.lal.in2p3.fr,-1297.003878723359
ps002.gla.scotgrid.ac.uk,ps1.ochep.ou.edu,-509.070097513353
ps002.gla.scotgrid.ac.uk,psonar1.lal.in2p3.fr,-44.90333787149238
psonar.cis.gov.pl,psonar1.lal.in2p3.fr,-1263.5855103238441
psmsu01.aglt2.org,ps1.ochep.ou.edu,-562.7192208069674
psmsu01.aglt2.org,psonar1.lal.in2p3.fr,-551.580187941367
psmsu01.aglt2.org,lutps1.lunet.edu,-9804.76526346152
t2-pfsn2.jinr.ru,psonar1.lal.in2p3.fr,-1256.2988997159496
perfsonar-latency.grid.pub.ro,ps1.ochep.ou.edu,-496.20077568685383
perfsonar-latency.grid.pub.ro,psonar1.lal.in2p3.fr,-379.91039777707505
perfson1.ppgrid1.rhul.ac.uk,psonar1.lal.in2p3.fr,-1794.3573663529446
perfson1.ppgrid1.rhul.ac.uk,ps1.ochep.ou.edu,-599.5945435720242
psonar4.fnal.gov,psonar1.lal.in2p3.fr,-1253.8877787834174
perfsonar02-iep-grid.saske.sk,lhcperfmon.bnl.gov,-14618654.320303995
perfsonar02-iep-grid.saske.sk,btw-lat.t1.grid.kiae.ru,-5286252.615374383
perfsonar02-iep-grid.saske.sk,psum01.aglt2.org,-799077.1234788286
perfsonar02-iep-grid.saske.sk,heplnx129.pp.rl.ac.uk,-443274.6304102396
