"source host","dest host","average packet loss",Count
"perfsonar01.hep.wisc.edu","repos.indiacms.res.in","0.527",1
"perfsonar01.hep.wisc.edu","psonar4.fnal.gov","0.523",1
"perfsonar01.hep.wisc.edu","psl01.pic.es","0.415",1
"perfsonar01.hep.wisc.edu","perfsonar-ow.cnaf.infn.it","0.388",2
"perfsonar01.hep.wisc.edu","t2-pfsn2.jinr.ru","0.361",2
"perfsonar01.hep.wisc.edu","perfsonar-cms1.itns.purdue.edu","0.34",1
"perfsonar01.hep.wisc.edu","perfsonar2.ultralight.org","0.335",1
"perfsonar01.hep.wisc.edu","pship01.csc.fi","0.335",1
"perfsonar01.hep.wisc.edu","perfsonar-2.t2.ucsd.edu","0.329",2
"perfsonar01.hep.wisc.edu","llrpsonar1.in2p3.fr","0.327",1
"perfsonar01.hep.wisc.edu","ps1.kipt.kharkov.ua","0.325",1
"perfsonar01.hep.wisc.edu","perfsonar2.nipne.ro","0.313",2
"perfsonar01.hep.wisc.edu","psum02.itep.ru","0.305",1
"perfsonar01.hep.wisc.edu","perfsonar01.datagrid.cea.fr","0.303",1
"perfsonar01.hep.wisc.edu","ps-01.lnl.infn.it","0.289",2
"perfsonar01.hep.wisc.edu","psl01-gva.cern.ch","0.288",2
"perfsonar01.hep.wisc.edu","perfsonar-owamp.accre.vanderbilt.edu","0.276",3
"perfsonar01.hep.wisc.edu","perfsonar-ps-01.desy.de","0.272",2
"perfsonar01.hep.wisc.edu","hcc-ps01.unl.edu","0.272",2
"perfsonar01.hep.wisc.edu","psonar1.lal.in2p3.fr","0.271",3
"perfsonar01.hep.wisc.edu","ps0002.m45.ihep.su","0.23",2
"perfsonar01.hep.wisc.edu","t1-pfsn2.jinr-t1.ru","0.21",3
"perfsonar01.hep.wisc.edu","heplnx129.pp.rl.ac.uk","0.002",1
"perfsonar01.hep.wisc.edu","perfsonar-lt.sprace.org.br","0.002",1
"psl01-gva.cern.ch","perfsonar40-otc.hnsc.otc-service.com","0.179",14
"psl01-gva.cern.ch","2001:4118:900:cc00::112","0.031",10
"psl01-gva.cern.ch","perfsonar02-iep-grid.saske.sk","0.019",9
"psl01-gva.cern.ch","ps-gsdc01.sdfarm.kr","0.003",1
"psl01-gva.cern.ch","2001:630:58:1c20::82f6:2ff2","0.002",2
"psl01-gva.cern.ch","gridpp-ps-lat.ecdf.ed.ac.uk","0.002",1
"psl01-gva.cern.ch","perfmon.dur.scotgrid.ac.uk","0.002",1
"psl01-gva.cern.ch","perfsonar-ps.ndgf.org","0.002",3
"psl01-gva.cern.ch","perfsonar01.cmsaf.mit.edu","0.002",1
"psl01-gva.cern.ch","perfsonar01.datagrid.cea.fr","0.002",1
"psl01-gva.cern.ch","psl01.pic.es","0.002",1
"psl01-gva.cern.ch","tech-ps.hep.technion.ac.il","0.002",1
"perfsonar02-iep-grid.saske.sk","perfsonar2.roma1.infn.it","0.045",1
"perfsonar02-iep-grid.saske.sk","perfsonar2-grid.uaic.ro","0.04",18
"perfsonar02-iep-grid.saske.sk","perfsonar01.ft.uam.es","0.04",9
"perfsonar02-iep-grid.saske.sk","btw-lat.t1.grid.kiae.ru","0.035",28
"perfsonar02-iep-grid.saske.sk","lcgps01.gridpp.rl.ac.uk","0.032",19
"perfsonar02-iep-grid.saske.sk","lhcperfmon.bnl.gov","0.031",28
"perfsonar02-iep-grid.saske.sk","perfsonar01.datagrid.cea.fr","0.031",19
"perfsonar02-iep-grid.saske.sk","heplnx129.pp.rl.ac.uk","0.03",18
"perfsonar02-iep-grid.saske.sk","lat-utoronto.scinet.utoronto.ca","0.029",20
"perfsonar02-iep-grid.saske.sk","llrpsonar1.in2p3.fr","0.027",19
"perfsonar02-iep-grid.saske.sk","psum01.aglt2.org","0.027",17
"perfsonar-latency.grid.pub.ro","2001:4118:900:cc00::112","0.039",4
"perfsonar-latency.grid.pub.ro","perfsonar02-iep-grid.saske.sk","0.035",13
"perfsonar-latency.grid.pub.ro","gridpp-ps-lat.ecdf.ed.ac.uk","0.002",2
"perfsonar-latency.grid.pub.ro","heplnx129.pp.rl.ac.uk","0.002",2
"perfsonar-latency.grid.pub.ro","lat-utoronto.scinet.utoronto.ca","0.002",1
"perfsonar-latency.grid.surfsara.nl","sampaps01.if.usp.br","0.046",12
"perfsonar-latency.grid.surfsara.nl","2001:4118:900:cc00::112","0.035",12
"perfsonar-latency.grid.surfsara.nl","perfsonar02-iep-grid.saske.sk","0.021",11
"perfsonar-latency.grid.surfsara.nl","perfmon.dur.scotgrid.ac.uk","0.003",2
"perfsonar-latency.grid.surfsara.nl","ps-01.lnl.infn.it","0.002",1
"perfsonar-latency.grid.surfsara.nl","psl.hpc.utfsm.cl","0.002",3
"perfsonar-latency.grid.surfsara.nl","psl01.pic.es","0.002",2
"perfsonar-latency.grid.surfsara.nl","psonar.cis.gov.pl","0.002",2
"psum01.aglt2.org","2001:4118:900:cc00::112","0.035",5
