timestamp,src,dest
2019-09-28 17:00:18,hepsonar1.ph.liv.ac.uk,ps-londhx1.ja.net
2019-09-28 17:00:40,perfsonar02.hep.wisc.edu,ps-02.lnl.infn.it
2019-09-28 17:00:32,hepsonar1.ph.liv.ac.uk,perfsonar-bandwidth.esc.qmul.ac.uk
2019-09-28 17:00:16,pygrid-sonar1.lancs.ac.uk,btw-bw.t1.grid.kiae.ru
2019-09-28 17:00:06,hcc-ps02.unl.edu,t1-pfsn1.jinr-t1.ru
2019-09-28 17:01:04,clrperf-bwctl.in2p3.fr,psb.hpc.utfsm.cl
2019-09-28 17:00:36,llrpsonar2.in2p3.fr,perfsonar-ps2.ndgf.org
2019-09-28 17:00:09,clrperf-bwctl.in2p3.fr,psb01.pic.es
2019-09-28 17:00:52,perfsonar-bandwidth.grid.pub.ro,perfsonar01-iep-grid.saske.sk
2019-09-28 17:00:22,gridpp-ps-band.ecdf.ed.ac.uk,ps-londhx1.ja.net
2019-09-28 17:00:58,t2ps-bandwidth.physics.ox.ac.uk,perfsonar-bandwidth.esc.qmul.ac.uk
2019-09-28 17:00:05,psb01.pic.es,perfsonar01-iep-grid.saske.sk
2019-09-28 17:00:20,psfrascati01.lnf.infn.it,perfsonar-de-kit.gridka.de
2019-09-28 17:01:04,2001:b30:4202:100::3,perfsonar.ihep.ac.cn
2019-09-28 17:00:55,psb01.pic.es,t1-pfsn1.jinr-t1.ru
2019-09-28 17:00:55,perfsonar-bandwidth.grid.pub.ro,perfsonar-ps2.ndgf.org
2019-09-28 17:00:22,lpsc-perfsonar.in2p3.fr,marperf01.in2p3.fr
2019-09-28 17:01:20,marperf01.in2p3.fr,clrperf-bwctl.in2p3.fr
2019-09-28 17:00:53,lhcone-wash-opt1.es.net,lhcone-newy-opt1.es.net
2019-09-28 17:00:18,marperf01.in2p3.fr,lhc-bandwidth.twgrid.org
2019-09-28 17:01:23,psific02.ific.uv.es,uct2-net2.mwt2.org
2019-09-28 17:01:22,psific02.ific.uv.es,perfsonar-bandwidth.grid.surfsara.nl
2019-09-28 17:00:37,psific02.ific.uv.es,t2ps-bandwidth.physics.ox.ac.uk
2019-09-28 17:00:28,psum02.aglt2.org,perfsonar-ps-02.desy.de
2019-09-28 17:01:20,lcgps02.gridpp.rl.ac.uk,psonar3.fnal.gov
2019-09-28 17:00:50,psific02.ific.uv.es,perfsonar1.nipne.ro
2019-09-28 17:00:44,perfsonar02.hep.wisc.edu,psonar3.fnal.gov
2019-09-28 17:00:45,ps0001.m45.ihep.su,btw-bw.grid.kiae.ru
2019-09-28 17:00:28,hcc-ps02.unl.edu,t2-pfsn1.jinr.ru
2019-09-28 17:00:59,lcgps02.gridpp.rl.ac.uk,perfsonar-1.t2.ucsd.edu
2019-09-28 17:01:52,psonar3.fnal.gov,psb01.pic.es
2019-09-28 17:00:35,hcc-ps02.unl.edu,perfbw.ciemat.es
2019-09-28 17:01:40,psonar3.fnal.gov,perfsonar-2.t2.ucsd.edu
2019-09-28 17:01:14,hepsonar1.ph.liv.ac.uk,perfsonar02.datagrid.cea.fr
2019-09-28 17:00:46,hepsonar1.ph.liv.ac.uk,lcgps02.gridpp.rl.ac.uk
2019-09-28 17:00:36,ccperfsonar1.in2p3.fr,perfsonar.ultralight.org
2019-09-28 17:00:46,psmsu02.aglt2.org,perfsonar2.icepp.jp
2019-09-28 17:00:58,ps-bandwidth.atlas.unimelb.edu.au,psific02.ific.uv.es
2019-09-28 17:00:47,202.140.191.90,perfsonar-bw.sprace.org.br
2019-09-28 17:01:22,sbgperfps2.in2p3.fr,llrpsonar2.in2p3.fr
2019-09-28 17:01:38,202.13.203.130,ps-bandwidth.atlas.unimelb.edu.au
2019-09-28 17:00:38,t2-pfsn1.jinr.ru,perfsonar-grid.uaic.ro
2019-09-28 17:00:42,lhc-bandwidth.twgrid.org,ps02.iihe.ac.be
2019-09-28 17:00:18,lapp-ps01.in2p3.fr,lhcb-perf.nipne.ro
2019-09-28 17:00:52,lapp-ps01.in2p3.fr,psfrascati01.lnf.infn.it
2019-09-28 17:00:38,lapp-ps01.in2p3.fr,llrpsonar2.in2p3.fr
2019-09-28 17:01:12,lhcmon.bnl.gov,ccperfsonar1.in2p3.fr
2019-09-28 17:01:24,lhcmon.bnl.gov,bdw-utoronto.scinet.utoronto.ca
2019-09-28 17:01:03,perfsonar-1.t2.ucsd.edu,perfsonar-bwctl.accre.vanderbilt.edu
2019-09-28 17:01:26,perfsonar-bwctl.accre.vanderbilt.edu,perfsonar-1.t2.ucsd.edu
2019-09-28 17:00:46,t2-pfsn1.jinr.ru,lcg-psbw.uw.computecanada.ca
2019-09-28 17:00:37,atrogr009.nipne.ro,ps-bandwidth.lhcmon.triumf.ca
2019-09-28 17:01:47,atrogr009.nipne.ro,ccperfsonar1.in2p3.fr
2019-09-28 17:02:00,perfson2.zeuthen.desy.de,t2-pfsn1.jinr.ru
2019-09-28 17:01:06,perfsonar-1.t2.ucsd.edu,psbud02.kfki.hu
2019-09-28 17:01:51,ps001.gla.scotgrid.ac.uk,lhcmon.bnl.gov
2019-09-28 17:01:09,ps001.gla.scotgrid.ac.uk,perfsonar-grid.uaic.ro
2019-09-28 17:01:41,ps-02.lnl.infn.it,btw-bw.grid.kiae.ru
2019-09-28 17:02:21,btw-bw.t1.grid.kiae.ru,t2-pfsn1.jinr.ru
2019-09-28 17:01:56,llrpsonar2.in2p3.fr,perfsonar-ps.cnaf.infn.it
2019-09-28 17:01:36,ps001.gla.scotgrid.ac.uk,psonar2.lal.in2p3.fr
2019-09-28 17:00:30,grid-perf2.physik.rwth-aachen.de,psbud02.kfki.hu
2019-09-28 17:01:50,clrperf-bwctl.in2p3.fr,lcgps02.gridpp.rl.ac.uk
2019-09-28 17:02:04,grid-perf2.physik.rwth-aachen.de,ps2.truba.gov.tr
2019-09-28 17:01:52,psb.hpc.utfsm.cl,llrpsonar2.in2p3.fr
2019-09-28 17:02:04,lhcb-perf.nipne.ro,pygrid-sonar1.lancs.ac.uk
2019-09-28 17:00:41,perfsonar-ps.cnaf.infn.it,perfsonar01-iep-grid.saske.sk
2019-09-28 17:00:31,t1-pfsn1.jinr-t1.ru,sbgperfps2.in2p3.fr
